ID,XENLA_XenBase_GeneNames,XENLA_GenBank_Description,HUMAN_UniProt_GeneNames,eggNOG_annotation
ENOG411CTK4,tnfaip8.L,"tumor necrosis factor alpha-induced protein 8 [Xenopus laevis], NA","TNFAIP8, TNFAIP8L1",Tumor necrosis factor alpha-induced protein
ENOG411CTK5,plin1.L,"LOC100036810 protein [Xenopus laevis], NA",PLIN1,perilipin 1
ENOG411CTK7,"sfpq.S, sfpq.L",NA,SFPQ,splicing factor proline glutamine-rich
ENOG411CTK9,"fam160a1.S, fam160a2.L, fam160a1.L",NA,"FAM160A1, FAM160A2","Family with sequence similarity 160, member"
ENOG411CTKA,"grk1.S, grk1.L","LOC443726 protein [Xenopus laevis], LOC733223 protein [Xenopus laevis], NA",GRK1,G protein-coupled receptor kinase 1
ENOG411CTKB,"Xelaev18010593m.g, Xelaev18011642m.g","MGC154789 protein [Xenopus laevis], ubiquitin C [Xenopus laevis], similar to ubiquitin C [Xenopus laevis], Chain A, Solution Structure Of The Designed Hydrophobic Core Mutant Of Ubiquitin, 1d7, Chain A, Recognition Dynamics Up To Microseconds Revealed From Rdc Derived Ubiquitin Ensemble In Solution, polyubiquitin - African clawed frog (fragment), NA","UBB, UBC","Ubiquitin exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked Lys-6-linked may be involved in DNA repair"
ENOG411CTKC,"fam214a.L, fam214a.S","LOC496170 protein [Xenopus laevis], LOC443587 protein [Xenopus laevis], NA",FAM214A,"family with sequence similarity 214, member A"
ENOG411CTKD,"st8sia5.L, st8sia5.S",NA,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
ENOG411CTKE,"adam33.S, adam12.S, adam12.L, adam19.S","ADAM metallopeptidase domain 33 [Xenopus laevis], ADAM19 [Xenopus laevis], A disintegrin and metalloprotease domain 13 [Xenopus laevis], metalloprotease/disintegrin xMDC13 [Xenopus laevis], NA","ADAM19, ADAM12, ADAM33",ADAM metallopeptidase domain
ENOG411CTKF,"slc10a4.S, slc10a4.L",NA,SLC10A4,"Solute carrier family 10 (Sodium bile acid cotransporter family), member 4"
ENOG411CTKG,NA,serine/threonine kinase 16 [Xenopus laevis],STK16,serine threonine kinase 16
ENOG411CTKH,gpatch1.L,NA,GPATCH1,G patch domain containing 1
ENOG411CTKI,"hbegf.L, hbegf.S",NA,HBEGF,heparin-binding EGF-like growth factor
ENOG411CTKJ,"usp12.S, usp12.L","ubiquitin carboxyl-terminal hydrolase 12-A [Xenopus laevis], RecName: Full=Ubiquitin carboxyl-terminal hydrolase 12-B; AltName: Full=Deubiquitinating enzyme 12-B; AltName: Full=Ubiquitin thiolesterase 12-B; AltName: Full=Ubiquitin-specific-processing protease 12-B, LOC496173 protein [Xenopus laevis], NA",USP12,ubiquitin specific peptidase 12
ENOG411CTKK,"agap2.L, agap1.L, Xelaev18032576m.g, agap3.L, agap2.S, agap1.S","arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 [Xenopus laevis], Unknown (protein for MGC:115253) [Xenopus laevis], NA","AGAP1, AGAP3, AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain"
ENOG411CTKM,ints10.L,NA,INTS10,integrator complex subunit 10
ENOG411CTKN,"frs2.L, frs2.S, frs3.L","FRS2 [Xenopus laevis], fibroblast growth factor receptor substrate 2 [Xenopus laevis], uncharacterized protein LOC398785 [Xenopus laevis], fibroblast growth factor receptor substrate 3 [Xenopus laevis], suc1-associated neurotrophic factor target XSNT [Xenopus laevis], NA",FRS3,fibroblast growth factor receptor substrate
ENOG411CTKP,"dusp4.S, dusp4.L","MAP kinase phosphatase [Xenopus laevis], MAP kinase phosphatase XCL100(beta) protein [Xenopus laevis], dual specificity phosphatase 4 [Xenopus laevis], LOC398254 protein [Xenopus laevis], NA","DUSP1, DUSP4",dual specificity protein phosphatase
ENOG411CTKQ,NA,LOC100158399 protein [Xenopus laevis],RAB13,"RAB13, member RAS oncogene family"
ENOG411CTKR,"postn.S, postn.L",NA,POSTN,"periostin, osteoblast specific factor"
ENOG411CTKS,"foxred1.L, foxred1.S","FAD-dependent oxidoreductase domain-containing protein 1 [Xenopus laevis], NA",FOXRED1,FAD-dependent oxidoreductase domain containing 1
ENOG411CTKT,"loc100493140.1.L, Xelaev18001560m.g, loc100489175.1.L, loc100493300.1.L, Xelaev18001563m.g, Xelaev18001562m.g, loc100492973.1.L, Xelaev18001559m.g","perforin 1 (pore forming protein) precursor [Xenopus laevis], LOC495232 protein [Xenopus laevis], NA",PRF1,perforin 1 (pore forming protein)
ENOG411CTKU,loc101730672.L,NA,KLRF1,Killer cell lectin-like receptor subfamily F member 1
ENOG411CTKV,"xrcc1.S, xrcc1.L","X-ray repair complementing defective repair in Chinese hamster cells 1 [Xenopus laevis], NA","NA, XRCC1",X-ray repair complementing defective repair in Chinese hamster cells 1
ENOG411CTKW,ldb2.S,"LIM-domain-binding protein 2b [Xenopus laevis], LIM-domain-binding protein 2a [Xenopus laevis], LIM-domain-binding protein 1b [Xenopus laevis], LIM domain binding 1 [Xenopus laevis], LIM domain-binding protein 1 [Xenopus laevis], NA","LDB1, LDB2",LIM domain binding
ENOG411CTKX,c11orf74.L,NA,C11orf74,chromosome 11 open reading frame 74
ENOG411CTKY,ctcf.S,"transcriptional repressor [Xenopus laevis], CCCTC-binding factor (zinc finger protein) [Xenopus laevis], NA","CTCF, CTCFL",CCCTC-binding factor (zinc finger
ENOG411CTM0,"rac2.L, rac2.S, rac3.L","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2) [Xenopus laevis], ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1) [Xenopus laevis], ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3) [Xenopus laevis], NA","RAC1, RAC2, RAC3",Ras-related C3 botulinum toxin substrate
ENOG411CTM1,cdk5rap1.L,"MGC154823 protein [Xenopus laevis], NA",CDK5RAP1,CDK5 regulatory subunit associated protein 1
ENOG411CTM2,"arv1.S, arv1.L",NA,ARV1,ARV1 homolog (S. cerevisiae)
ENOG411CTM4,cep128.L,"LOC432244 protein [Xenopus laevis], NA",CEP128,centrosomal protein 128kDa
ENOG411CTM5,"cyp1b1.S, cyp1b1.L, cyp1c1.L",NA,CYP1B1,Cytochrome P450 family 1 subfamily B polypeptide 1
ENOG411CTM6,slx1a.L,"Giyd1 protein [Xenopus laevis], NA",SLX1A; SLX1B,"Catalytic subunit of the SLX1-SLX4 structure-specific endonuclease that resolves DNA secondary structures generated during DNA repair and recombination. Has endonuclease activity towards branched DNA substrates, introducing single-strand cuts in duplex DNA close to junctions with ss-DNA. Has a preference for 5'-flap structures, and promotes symmetrical cleavage of static and migrating Holliday junctions (HJs). Resolves HJs by generating two pairs of ligatable, nicked duplex products"
ENOG411CTM7,fcf1.S,"FCF1 small subunit (SSU) processome component homolog [Xenopus laevis], NA",FCF1,FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)
ENOG411CTM8,fbxo45.L,"F-box/SPRY domain-containing protein 1 [Xenopus laevis], NA",FBXO45,F-box protein 45
ENOG411CTMA,"Xelaev18002665m.g, Xelaev18029988m.g, Xelaev18027946m.g","Cep63 [Xenopus laevis], RecName: Full=Centrosomal protein of 63 kDa-B; Short=Cep63-B, Cep63 protein [Xenopus laevis], NA",CEP63,Centrosomal protein 63kDa
ENOG411CTMB,nme9.L,"thioredoxin domain containing 6 [Xenopus laevis], NA",NME8,NME NM23 family member
ENOG411CTMC,"clcnkb.L, loc100487225.L, loc100487225.S","chloride channel protein ClC-Kb [Xenopus laevis], Clcnka-A protein [Xenopus laevis], NA","CLCNKB, CLCNKA",Chloride Channel
ENOG411CTMD,"rusc2.1, rusc2.L",NA,RUSC2,RUN and SH3 domain containing 2
ENOG411CTME,mmp19.L,NA,MMP19,matrix metallopeptidase 19
ENOG411CTMF,"atp6v0a1.S, atp6v0a1.L","ATPase, H+ transporting, lysosomal V0 subunit a4 [Xenopus laevis], V-type proton ATPase 116 kDa subunit a isoform 1 [Xenopus laevis], NA","ATP6V0A1, ATP6V0A4","ATPase, H transporting, lysosomal V0 subunit"
ENOG411CTMG,"loc100497282.L, loc100497282.S",NA,TMEM200B,transmembrane protein 200B
ENOG411CTMH,"loc100496047-like.L, Xetrov90029940m.L, Xetrov90029950m.L, loc100491574.S, fbxw7-like.S, Xelaev18024639m.g, Xelaev18024642m.g, loc101734025.L, Xelaev18021703m.g, fbxw7-like.L, fbxw7.S","Cdc4 [Xenopus laevis], uncharacterized protein LOC734599 [Xenopus laevis], NA",FBXW7,"F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase"
ENOG411CTMI,"eef2k.S, eef2k.L",NA,EEF2K,Eukaryotic elongation factor-2 kinase
ENOG411CTMK,"btf3.S, btf3.L","basic transcription factor 3 [Xenopus laevis], NA",BTF3,basic transcription factor 3
ENOG411CTMM,"nrxn3.L, nrxn1.L, Xelaev18024159m.g, nrxn1.S, Xetrov90021162m.S, Xelaev18022351m.g, nrxn3.S",NA,"NRXN2, NRXN3, NRXN1",Neurexin
ENOG411CTMN,NA,breast cancer metastasis suppressor 1 [Xenopus laevis],BRMS1,Breast cancer metastasis suppressor 1
ENOG411CTMQ,"rasa1.S, rasa1.L",NA,RASA1,RAS p21 protein activator (GTPase activating protein) 1
ENOG411CTMR,"Xelaev18003222m.g, loc548774.L, Xelaev18000117m.g","LOC100037244 protein [Xenopus laevis], unnamed protein product [Xenopus laevis], NA","CYP4F22, CYP4F3","Cytochrome P450, family 4, subfamily f, polypeptide"
ENOG411CTMS,"fat3.S, fat1.L, fat1.S",NA,"FAT1, FAT3",FAT tumor suppressor homolog
ENOG411CTMT,frzb2.S,"frizzled-related protein 2 precursor [Xenopus laevis], NA",NA,FRI
ENOG411CTMU,slc25a10.L,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10 [Xenopus laevis], MGC82285 protein [Xenopus laevis], NA",SLC25A10,Solute carrier family 25 (Mitochondrial carrier
ENOG411CTMV,nagk.L,"Unknown (protein for MGC:180054) [Xenopus laevis], NA",NAGK,N-acetylglucosamine kinase
ENOG411CTMW,vps39.L,NA,VPS39,vacuolar protein sorting 39 homolog (S. cerevisiae)
ENOG411CTMX,bhmt.L,"betaine--homocysteine S-methyltransferase 1 [Xenopus laevis], NA","BHMT, BHMT2",betaine-homocysteine S-methyltransferase
ENOG411CTMY,taz.L,"tafazzin [Xenopus laevis], NA",TAZ,tafazzin
ENOG411CTMZ,hm13.S,"histocompatibility (minor) 13 [Xenopus laevis], NA",HM13,histocompatibility (minor) 13
ENOG411CTN0,"wiz.S, wiz.L",NA,WIZ,widely interspaced zinc finger motifs
ENOG411CTN1,NA,"LOC100036873 protein [Xenopus laevis], endoplasmic reticulum-Golgi intermediate compartment protein 3 [Xenopus laevis]",ERGIC3,ERGIC and golgi 3
ENOG411CTN2,loc100493283-like.L,NA,THAP9,THAP domain containing 9
ENOG411CTN4,ercc4.L,"excision repair cross-complementing rodent repair deficiency, complementation group 4 [Xenopus laevis], NA",ERCC4,"Excision repair cross-complementing rodent repair deficiency, complementation group 4"
ENOG411CTN5,"stxbp1.S, stxbp2.L, stxbp1.L","syntaxin binding protein 1 [Xenopus laevis], unc-18, partial [Xenopus laevis], unc-18 [Xenopus laevis], NA","STXBP1, STXBP2",syntaxin binding protein
ENOG411CTN6,loc100495255.L,NA,NA,"Uncharacterized ACR, YdiU/UPF0061 family"
ENOG411CTN7,"nab2.L, nab2.S, nab1.L, nab1.S","LOC100137690 protein [Xenopus laevis], NA","NAB2, NAB1",NGFI-A binding protein 1 (EGR1 binding protein 1)
ENOG411CTN8,"rfng.L, lfng.L","LOC100036937 protein [Xenopus laevis], LOC397855 protein [Xenopus laevis], beta-1,3-N-acetylglucosaminyltransferase lunatic fringe [Xenopus laevis], beta-1,3-N-acetylglucosaminyltransferase radical fringe [Xenopus laevis], Xfringe2 protein [Xenopus laevis], Lunatic fringe [Xenopus laevis], NA","LFNG, RFNG, MFNG",O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ENOG411CTN9,None,NA,CD84,CD84 molecule
ENOG411CTNA,"amdhd2.S, amdhd2.L",NA,"AMDHD2, NA",GlcNAc 6-P deacetylase
ENOG411CTNB,"nmt2-like.L, nmt2-like.S, nmt1.L, nmt1.S","N-myristoyltransferase 1 [Xenopus laevis], N-myristoyltransferase 2 [Xenopus laevis], NA","NMT2, NMT1",Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity)
ENOG411CTNC,NA,"tetraspanin-31-B [Xenopus laevis], tetraspanin-31-A [Xenopus laevis]",TSPAN31,Tetraspanin 31
ENOG411CTND,"asb15.L, asb14.1.L","ankyrin repeat and SOCS box containing 15 [Xenopus laevis], NA","ASB14, ASB15",Ankyrin repeat and SOCS box containing
ENOG411CTNF,"nrip3.S, nrip3.L","nuclear receptor interacting protein 3 [Xenopus laevis], NA",NRIP3,Nuclear receptor interacting protein 3
ENOG411CTNG,"ccdc47.L, ccdc47.S","coiled-coil domain-containing protein 47 precursor [Xenopus laevis], NA","NA, CCDC47",Coiled-coil domain containing 47
ENOG411CTNH,asb3.S,"ankyrin repeat and SOCS box protein 3 [Xenopus laevis], NA",ASB3,ankyrin repeat and SOCS box containing 3
ENOG411CTNM,None,NA,CFAP77,chromosome 9 open reading frame 171
ENOG411CTNN,NA,RecName: Full=Gastrula zinc finger protein XlCGF44.2,NA,Inherit from opiNOG: Transcription factor
ENOG411CTNP,ccdc13.L,NA,CCDC13,Coiled-coil domain containing 13
ENOG411CTNR,"loc101734985.1.L, loc100145450.S, Xelaev18006512m.g, loc100145450.L, Xelaev18001243m.g, Xetrov90018500m.L",NA,KIAA1958,kiaa1958
ENOG411CTNS,"cux1.S, cux1.L",NA,CUX1,Cut-like homeobox
ENOG411CTNT,loc100490281.L,NA,NA,Flavin-binding monooxygenase-like
ENOG411CTNU,"atrip.L, atrip.S","RAD26 protein [Xenopus laevis], ATR interacting protein [Xenopus laevis], Unknown (protein for MGC:197165) [Xenopus laevis], Atrip protein [Xenopus laevis], NA",ATRIP,ATR interacting protein
ENOG411CTNV,narfl.S,NA,CIAO3,Nuclear prelamin A recognition factor-like
ENOG411CTNW,"esyt1.L, esyt1.S, Xelaev18044139m.g, loc100496999.L, Xelaev18043971m.g, loc100487427.L, Xetrov90025652m.L, Xelaev18013635m.g",NA,NA,extended synaptotagmin-like protein
ENOG411CTNX,"otud5.L, otud5.S","OTU domain-containing protein 5-B [Xenopus laevis], OTU domain-containing protein 5-A [Xenopus laevis], NA",OTUD5,OTU domain containing 5
ENOG411CTNZ,NA,integrin-linked kinase-associated serine/threonine phosphatase [Xenopus laevis],ILKAP,Integrin-linked kinase-associated serine threonine phosphatase
ENOG411CTP0,cxcr4.L,"C-X-C chemokine receptor type 4-B [Xenopus laevis], C-X-C chemokine receptor type 4-A [Xenopus laevis], NA",CXCR4,Chemokine C-X-C motif receptor 4
ENOG411CTP1,"ikbke.S, tbk1.S, ikbke.L","serine/threonine-protein kinase TBK1 [Xenopus laevis], inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon [Xenopus laevis], NA","IKBKE, TBK1","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"
ENOG411CTP2,"kmt5b.L, kmt5c.S, kmt5b.S, kmt5c.L","Suv420h2 protein [Xenopus laevis], histone-lysine N-methyltransferase SUV420H1-B [Xenopus laevis], histone-lysine N-methyltransferase SUV420H1-A [Xenopus laevis], NA",KMT5B,suppressor of variegation 4-20 homolog
ENOG411CTP3,"nr2e3.L, nr2e3.S",NA,NR2E3,"Nuclear receptor subfamily 2, group E, member 3"
ENOG411CTP4,"pou4f3.L, pou4f1.2.L, pou4f2.L, pou4f2.S, pou4f3.S","class IV POU-homeodomain protein [Xenopus laevis], NA",POU4F3,POU class 4 homeobox
ENOG411CTP6,hspbp1.L,"LOC100158355 protein [Xenopus laevis], NA",HSPBP1,"HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1"
ENOG411CTP7,"klhl14.L, klhl14.S",NA,KLHL14,kelch-like 14 (Drosophila)
ENOG411CTP8,"il17rc.L, il17rc.S",NA,IL17RC,Interleukin 17 receptor C
ENOG411CTP9,"ddx23.L, ddx23.S",NA,DDX23,DEAD (Asp-Glu-Ala-Asp) box polypeptide 23
ENOG411CTPA,"akap12.L, akap12.S","gravin-like [Xenopus laevis], Unknown (protein for IMAGE:4958048) [Xenopus laevis], NA",AKAP12,A kinase (PRKA) anchor protein 12
ENOG411CTPB,"msl2.S, msl2.L",NA,MSL2,male-specific lethal 2 homolog (Drosophila)
ENOG411CTPC,"tbx4.S, tbx4.L",NA,TBX4,t-box transcription factor
ENOG411CTPD,"dmxl1.L, dmxl2.L, dmxl2.S",NA,"DMXL1, DMXL2",Dmx-like 1
ENOG411CTPE,colca2.L,NA,COLCA2,chromosome 11 open reading frame 93
ENOG411CTPF,"fam131a.S, fam131a.L",NA,FAM131A,"family with sequence similarity 131, member A"
ENOG411CTPG,lrrc20.L,NA,LRRC20,Leucine rich repeat containing 20
ENOG411CTPH,"loc101732146.L, itpr1.L, itpr3.S, Xelaev18000411m.g, Xelaev18016629m.g, itpr1.S, Xetrov90028976m.L","inositol 1,4,5-triphosphate receptor, type 1 [Xenopus laevis], NA","ITPR1, ITPR2, ITPR3","inositol 1,4,5-trisphosphate receptor type"
ENOG411CTPI,psma5.L,"proteasome (prosome, macropain) subunit, alpha type, 5 [Xenopus laevis], 20S proteasome alpha5 subunit [Xenopus laevis], NA",PSMA5,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)"
ENOG411CTPK,"impg2.L, impg2.S",NA,IMPG2,Interphotoreceptor matrix proteoglycan 2
ENOG411CTPM,"ttll11.L, ttll11-like.1.S",NA,TTLL11,"Tubulin tyrosine ligase-like family, member 11"
ENOG411CTPP,NA,"MGC81775 protein [Xenopus laevis], SEC22 vesicle trafficking protein-like 2 [Xenopus laevis]",SEC22A,SEC22 vesicle trafficking protein homolog A (S. cerevisiae)
ENOG411CTPR,"npffr2.S, npffr1.S, npffr1.L, npffr2.L","neuropeptide FF receptor 1 [Xenopus laevis], NA","NPFFR2, NPFFR1",neuropeptide FF receptor
ENOG411CTPS,irf1.S,"interferon regulatory factor 1 [Xenopus laevis], MGC82544 protein [Xenopus laevis], NA",IRF1,interferon regulatory factor 1
ENOG411CTPT,znhit2.L,"zinc finger, HIT-type containing 2 [Xenopus laevis], NA",ZNHIT2,"zinc finger, HIT-type containing 2"
ENOG411CTPV,"wisp3.S, wisp3.L",NA,CCN6,WNT1 inducible signaling pathway protein 3
ENOG411CTPW,stxbp4.L,"syntaxin binding protein 4 [Xenopus laevis], NA",STXBP4,Syntaxin binding protein 4
ENOG411CTPY,NA,"programmed cell death 6-interacting protein [Xenopus laevis], LOC398095 protein [Xenopus laevis]",PDCD6IP,Programmed cell death 6 interacting protein
ENOG411CTPZ,fzr1.L,"fizzy/cell division cycle 20 related 1 [Xenopus laevis], NA",FZR1,fizzy cell division cycle 20 related 1 (Drosophila)
ENOG411CTQ0,ddx6.S,"RNA helicase p54 [Xenopus laevis], P54H protein [Xenopus laevis], NA",DDX6,DEAD (Asp-Glu-Ala-Asp) box helicase 6
ENOG411CTQ1,None,NA,SLC6A4,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4"
ENOG411CTQ2,"pak7.S, pak7.L, pak4.S","PAK5 protein [Xenopus laevis], p21-activated kinase 5 [Xenopus laevis], NA","PAK5, PAK4",p21 protein (Cdc42 Rac)-activated kinase
ENOG411CTQ3,loc101732550-like.1.L,NA,REPIN1,replication initiator 1
ENOG411CTQ4,"ddx60.L, Xetrov90000818m.L, ddx60.S",NA,DDX60,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
ENOG411CTQ5,"ralgapb.L, ralgapb.S",NA,RALGAPB,"Ral GTPase activating protein, beta subunit (Non-catalytic)"
ENOG411CTQ6,gnrhr2/nmi.S,"gonadotropin releasing hormone receptor type I [Xenopus laevis], NA",NA,Gonadotropin-releasing hormone
ENOG411CTQ8,"hs3st6.S, Xelaev18046798m.g, hs3st2.L, Xelaev18044182m.g, Xelaev18046800m.g, loc100492416.L, hs3st6.L, loc100492416.S, hs3st2.S, Xelaev18044179m.g","LOC100037135 protein [Xenopus laevis], Unknown (protein for MGC:181785) [Xenopus laevis], NA","HS3ST3A1, HS3ST3B1, HS3ST4, HS3ST2, HS3ST6",Heparan sulfate glucosamine 3-O-sulfotransferase
ENOG411CTQ9,grb10.L,NA,"GRB7, GRB10",Growth factor receptor-bound protein
ENOG411CTQA,"abi2.L, abi2.S","abl-interactor 2 [Xenopus laevis], Lan4-a protein [Xenopus laevis], NA",ABI2,abl-interactor 2
ENOG411CTQB,NA,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20, gene 2 [Xenopus laevis], solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 [Xenopus laevis]",SLC25A20,"solute carrier family 25 (carnitine acylcarnitine translocase), member 20"
ENOG411CTQC,NA,"LOC100037120 protein [Xenopus laevis], solute carrier family 43, member 2 [Xenopus laevis], Slc43a2 protein [Xenopus laevis]",SLC43A2,"Solute carrier family 43, member 2"
ENOG411CTQE,"fas.L, fas.S",NA,FAS,"Fas (TNF receptor superfamily, member 6)"
ENOG411CTQF,"sema3d.L, sema3d.S","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D [Xenopus laevis], NA",SEMA3D,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D"
ENOG411CTQG,NA,U1 small nuclear ribonucleoprotein C [Xenopus laevis],SNRPC,"Component of the U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. U1-C is directly involved in initial 5' splice-site recognition for both constitutive and regulated alternative splicing. The interaction with the 5' splice-site seems to precede base-pairing between the pre-mRNA and the U1 snRNA"
ENOG411CTQH,fam76b.L,"family with sequence similarity 76, member B [Xenopus laevis], NA","FAM76B, FAM76A","Family with sequence similarity 76, member"
ENOG411CTQJ,"tlr5-like.1.L, tlr5-like.1.S",NA,SUSD4,sushi domain containing 4
ENOG411CTQK,btg3.L,NA,BTG3,BTG family member 3
ENOG411CTQM,"plcxd2.L, plcxd2.S","phosphatidylinositol-specific phospholipase C, X domain containing 2 [Xenopus laevis], NA",PLCXD2,"phosphatidylinositol-specific phospholipase C, X domain containing 2"
ENOG411CTQQ,ddx59.L,"DEAD box helicase [Xenopus laevis], LOC100127243 protein [Xenopus laevis], NA",DDX59,DEAD (Asp-Glu-Ala-Asp) box polypeptide 59
ENOG411CTQT,"arl13b.S, arl13b.L",NA,ARL13B,ADP-ribosylation factor-like 13b
ENOG411CTQU,sec22b.L,"SEC22 vesicle trafficking protein homolog B (gene/pseudogene) [Xenopus laevis], Sec22l1b protein [Xenopus laevis], Unknown (protein for MGC:130778) [Xenopus laevis], NA",SEC22B,Vesicle-trafficking protein
